"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 19 20:33:06 EEST 2022","Wed Oct 19 20:33:06 EEST 2022","49","Orders","","","","","List orders",""
"passed","Wed Oct 19 20:14:00 EEST 2022","Wed Oct 19 20:14:00 EEST 2022","78","Users","","","","","Remove user by ID",""
"passed","Wed Oct 19 20:13:59 EEST 2022","Wed Oct 19 20:14:00 EEST 2022","45","Orders","","","","","Get order by ID",""
"passed","Wed Oct 19 20:13:59 EEST 2022","Wed Oct 19 20:13:59 EEST 2022","55","Products","","","","","Get product by ID",""
"passed","Wed Oct 19 20:33:06 EEST 2022","Wed Oct 19 20:33:06 EEST 2022","51","Users","","","","","Create user",""
"passed","Wed Oct 19 20:33:06 EEST 2022","Wed Oct 19 20:33:06 EEST 2022","79","Users","","","","","Update user",""
"passed","Wed Oct 19 20:33:05 EEST 2022","Wed Oct 19 20:33:06 EEST 2022","224","Products","","","","","List products",""
"passed","Wed Oct 19 20:14:00 EEST 2022","Wed Oct 19 20:14:00 EEST 2022","84","Users","","","","","Update user",""
"passed","Thu Oct 20 11:34:07 EEST 2022","Thu Oct 20 11:34:07 EEST 2022","68","Products","","","","","Update product",""
"passed","Wed Oct 19 20:14:00 EEST 2022","Wed Oct 19 20:14:00 EEST 2022","50","Users","","","","","List users",""
"passed","Wed Oct 19 20:33:07 EEST 2022","Wed Oct 19 20:33:07 EEST 2022","39","Users","","","","","Get deleted user by ID",""
"passed","Thu Oct 20 11:34:08 EEST 2022","Thu Oct 20 11:34:08 EEST 2022","53","Orders","","","","","List orders",""
"passed","Thu Oct 20 11:34:08 EEST 2022","Thu Oct 20 11:34:08 EEST 2022","56","Users","","","","","List users",""
"passed","Wed Oct 19 20:33:06 EEST 2022","Wed Oct 19 20:33:06 EEST 2022","52","Products","","","","","Get product by ID",""
"passed","Wed Oct 19 20:14:00 EEST 2022","Wed Oct 19 20:14:00 EEST 2022","55","Users","","","","","Create user",""
"passed","Wed Oct 19 20:14:00 EEST 2022","Wed Oct 19 20:14:00 EEST 2022","48","Users","","","","","Get user by ID",""
"passed","Wed Oct 19 20:13:59 EEST 2022","Wed Oct 19 20:13:59 EEST 2022","44","Orders","","","","","List orders",""
"passed","Thu Oct 20 11:34:07 EEST 2022","Thu Oct 20 11:34:07 EEST 2022","79","Products","","","","","Remove product by ID",""
"passed","Thu Oct 20 11:34:08 EEST 2022","Thu Oct 20 11:34:08 EEST 2022","73","Users","","","","","Update user",""
"passed","Thu Oct 20 11:34:08 EEST 2022","Thu Oct 20 11:34:08 EEST 2022","67","Orders","","","","","Update order",""
"passed","Wed Oct 19 20:33:06 EEST 2022","Wed Oct 19 20:33:06 EEST 2022","68","Orders","","","","","Remove order by ID",""
"passed","Wed Oct 19 20:33:06 EEST 2022","Wed Oct 19 20:33:06 EEST 2022","42","Orders","","","","","Get order by ID",""
"passed","Wed Oct 19 20:33:06 EEST 2022","Wed Oct 19 20:33:06 EEST 2022","74","Products","","","","","Remove product by ID",""
"passed","Thu Oct 20 11:34:07 EEST 2022","Thu Oct 20 11:34:07 EEST 2022","59","Products","","","","","Get product by ID",""
"passed","Thu Oct 20 11:34:08 EEST 2022","Thu Oct 20 11:34:08 EEST 2022","73","Users","","","","","Remove user by ID",""
"passed","Thu Oct 20 11:34:07 EEST 2022","Thu Oct 20 11:34:08 EEST 2022","55","Products","","","","","Get deleted product by ID",""
"passed","Thu Oct 20 11:34:07 EEST 2022","Thu Oct 20 11:34:07 EEST 2022","196","Products","","","","","Create product",""
"passed","Wed Oct 19 20:33:06 EEST 2022","Wed Oct 19 20:33:06 EEST 2022","71","Products","","","","","Update product",""
