"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 14:10:41 EEST 2022","Thu Oct 20 14:10:41 EEST 2022","48","Users","","","","","Get user by ID",""
"passed","Thu Oct 20 14:10:41 EEST 2022","Thu Oct 20 14:10:41 EEST 2022","90","Orders","","","","","Remove order by ID",""
"passed","Thu Oct 20 14:10:40 EEST 2022","Thu Oct 20 14:10:41 EEST 2022","62","Orders","","","","","Update order",""
"passed","Thu Oct 20 14:10:40 EEST 2022","Thu Oct 20 14:10:40 EEST 2022","75","Products","","","","","Remove product by ID",""
"passed","Thu Oct 20 14:10:41 EEST 2022","Thu Oct 20 14:10:41 EEST 2022","54","Users","","","","","Create user",""
"passed","Thu Oct 20 14:10:41 EEST 2022","Thu Oct 20 14:10:41 EEST 2022","64","Users","","","","","Remove user by ID",""
"passed","Thu Oct 20 14:10:41 EEST 2022","Thu Oct 20 14:10:41 EEST 2022","76","Users","","","","","Update user",""
"passed","Thu Oct 20 14:10:40 EEST 2022","Thu Oct 20 14:10:40 EEST 2022","52","Products","","","","","Get deleted product by ID",""
"passed","Thu Oct 20 14:10:40 EEST 2022","Thu Oct 20 14:10:40 EEST 2022","42","Orders","","","","","Get order by ID",""
"passed","Thu Oct 20 14:10:41 EEST 2022","Thu Oct 20 14:10:41 EEST 2022","50","Users","","","","","Get deleted user by ID",""
"passed","Thu Oct 20 14:10:41 EEST 2022","Thu Oct 20 14:10:41 EEST 2022","48","Users","","","","","List users",""
"passed","Thu Oct 20 14:10:40 EEST 2022","Thu Oct 20 14:10:40 EEST 2022","105","Products","","","","","Create product",""
"passed","Thu Oct 20 14:10:39 EEST 2022","Thu Oct 20 14:10:40 EEST 2022","762","Products","","","","","List products",""
"passed","Thu Oct 20 14:10:40 EEST 2022","Thu Oct 20 14:10:40 EEST 2022","63","Orders","","","","","Create order",""
"passed","Thu Oct 20 14:10:40 EEST 2022","Thu Oct 20 14:10:40 EEST 2022","66","Products","","","","","Update product",""
"passed","Thu Oct 20 14:10:40 EEST 2022","Thu Oct 20 14:10:40 EEST 2022","63","Products","","","","","Get product by ID",""
"passed","Thu Oct 20 14:10:40 EEST 2022","Thu Oct 20 14:10:40 EEST 2022","53","Orders","","","","","List orders",""
